product_category,product_name,product_slug,product_description,product_summary,product_status,product_thumbnail,product_images,product_options,variant_name,variant_sku,variant_barcode,variant_price,variant_compare_at_price,variant_cost_price,variant_inventory_quantity,variant_track_inventory,variant_continue_selling_out_of_stock,variant_weight,variant_weight_unit,variant_width,variant_height,variant_depth,variant_dimension_unit,variant_options
Sporting,"Recusandae Quisquam Unde (Sporting)",recusandae-quisquam-unde-sporting,"Voluptatem veritatis et dolores blanditiis repellat. Non natus est natus. Ex omnis quas blanditiis voluptates iusto et sint. Et laborum ullam ea omnis in sapiente. Tenetur dolor quibusdam sed asperiores eveniet.","Perferendis possimus et aut et.",active,https://picsum.photos/300/300?random=61,"[""https:\/\/picsum.photos\/600\/600?random=610"",""https:\/\/picsum.photos\/600\/600?random=611""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Recusandae Quisquam Unde (Sporting) - Black / L",KGH-00061,8642491463838,154.52,,125.63,108,1,0,4025.67,g,20.94,20.09,35.31,cm,"{""Color"":""Black"",""Size"":""L""}"
Sporting,"Eum Ducimus Ut (Sporting)",eum-ducimus-ut-sporting,"Repudiandae facere odit odit qui sed. Fuga excepturi debitis animi consequuntur in. Itaque ipsa ipsa saepe. Voluptas dolor cum atque voluptatem similique voluptatem sint.","Doloribus magni tempora iure quia praesentium et.",active,https://picsum.photos/300/300?random=62,"[""https:\/\/picsum.photos\/600\/600?random=620"",""https:\/\/picsum.photos\/600\/600?random=621""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Eum Ducimus Ut (Sporting) - White / M",DEO-00062,0640781741817,54.92,,45.77,108,1,0,3441.56,g,35.85,7.11,35.15,cm,"{""Color"":""White"",""Size"":""M""}"
Sporting,"Molestias Corrupti Reiciendis (Sporting)",molestias-corrupti-reiciendis-sporting,"Sit minus culpa qui fugiat velit est. Explicabo ipsum qui ut quas. Enim rem sed voluptatem debitis ipsam iste. Laboriosam quis eos velit inventore ex alias sequi.","Similique natus sed officia ea consequatur ut ratione.",active,https://picsum.photos/300/300?random=63,"[""https:\/\/picsum.photos\/600\/600?random=630"",""https:\/\/picsum.photos\/600\/600?random=631""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Molestias Corrupti Reiciendis (Sporting) - White / L",3FL-00063,4029245131481,259.3,,171.72,16,1,0,3123.52,g,28.54,6.63,12.46,cm,"{""Color"":""White"",""Size"":""L""}"
Sporting,"Natus Odit Est (Sporting)",natus-odit-est-sporting,"Numquam ratione nobis molestias totam rerum et aliquam. Qui pariatur ut sapiente sunt quae. Harum qui vel omnis est. Voluptate qui quia voluptas neque. Eveniet necessitatibus est nobis repudiandae. Aut a voluptatem qui dolor ea illum illo.","Eveniet tenetur qui voluptatem neque assumenda.",active,https://picsum.photos/300/300?random=64,"[""https:\/\/picsum.photos\/600\/600?random=640"",""https:\/\/picsum.photos\/600\/600?random=641""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Natus Odit Est (Sporting) - White / M",SBU-00064,1161350307276,177.37,,108.15,103,1,0,4554.22,g,25.98,35.44,40.02,cm,"{""Color"":""White"",""Size"":""M""}"
Sporting,"Ut Qui Aut (Sporting)",ut-qui-aut-sporting,"Quod sed aut ducimus. Id rerum ut est sed. Quas ea ipsa ipsum maiores.","Et dolorem sapiente sequi fugit deleniti et aliquid.",active,https://picsum.photos/300/300?random=65,"[""https:\/\/picsum.photos\/600\/600?random=650"",""https:\/\/picsum.photos\/600\/600?random=651""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Ut Qui Aut (Sporting) - White / M",YAM-00065,6255966742967,289.27,,198.13,74,1,0,4798.5,g,10.92,43.2,39.69,cm,"{""Color"":""White"",""Size"":""M""}"
Sporting,"Est Voluptatum Repudiandae (Sporting)",est-voluptatum-repudiandae-sporting,"Aut deleniti dolore sapiente sequi quasi vel ut. Suscipit voluptatem ut enim ut id laudantium. Iste odit quod laboriosam inventore quis unde sunt. Cupiditate et vitae ullam consequatur voluptatem esse non.","Est et distinctio similique possimus.",active,https://picsum.photos/300/300?random=66,"[""https:\/\/picsum.photos\/600\/600?random=660"",""https:\/\/picsum.photos\/600\/600?random=661""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Est Voluptatum Repudiandae (Sporting) - White / L",XPD-00066,4808710196695,76.32,,45.7,148,1,0,3098.35,g,40.88,8.61,31.59,cm,"{""Color"":""White"",""Size"":""L""}"
Sporting,"Ratione Accusamus Assumenda (Sporting)",ratione-accusamus-assumenda-sporting,"Natus cupiditate saepe ab minima voluptate. Eum cum eaque odit vero. Cum dolor dolores nihil. Pariatur nobis quae eligendi. Repudiandae quo delectus tempora pariatur.","Ea placeat aut laudantium saepe.",active,https://picsum.photos/300/300?random=67,"[""https:\/\/picsum.photos\/600\/600?random=670"",""https:\/\/picsum.photos\/600\/600?random=671""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Ratione Accusamus Assumenda (Sporting) - Black / S",PTS-00067,1718174487037,249.01,,136.82,81,1,0,4229.18,g,30.98,14.36,16.96,cm,"{""Color"":""Black"",""Size"":""S""}"
Sporting,"Ut Est Ut (Sporting)",ut-est-ut-sporting,"Dolores nesciunt in fuga odit. Asperiores sequi asperiores adipisci sint. Quasi mollitia ullam architecto.","Et perspiciatis consequuntur et.",active,https://picsum.photos/300/300?random=68,"[""https:\/\/picsum.photos\/600\/600?random=680"",""https:\/\/picsum.photos\/600\/600?random=681""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Ut Est Ut (Sporting) - Black / L",56N-00068,3680080814970,42.34,,19.42,70,1,0,1156.81,g,43.11,26.78,45.05,cm,"{""Color"":""Black"",""Size"":""L""}"
Sporting,"Quas Voluptatem Eligendi (Sporting)",quas-voluptatem-eligendi-sporting,"Libero qui earum iusto a quas quia. Fugiat sint saepe fugit voluptatem temporibus aliquam. Fuga at unde quam molestiae non itaque tempore.","Enim dicta dolor eaque magnam soluta nihil fuga aut.",active,https://picsum.photos/300/300?random=69,"[""https:\/\/picsum.photos\/600\/600?random=690"",""https:\/\/picsum.photos\/600\/600?random=691""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Quas Voluptatem Eligendi (Sporting) - White / L",PKR-00069,1706358921392,279.72,,120.05,58,1,0,3480.41,g,37.6,49.95,28.91,cm,"{""Color"":""White"",""Size"":""L""}"
Sporting,"Est Itaque Facere (Sporting)",est-itaque-facere-sporting,"Debitis iste iusto est laborum rerum quasi facilis. Quis et quis dolorem eum. Delectus est quis fugiat dolores.","Consectetur sequi delectus corporis voluptatem quia natus.",active,https://picsum.photos/300/300?random=70,"[""https:\/\/picsum.photos\/600\/600?random=700"",""https:\/\/picsum.photos\/600\/600?random=701""]","[{""name"":""Color"",""values"":[""Black"",""White""]},{""name"":""Size"",""values"":[""S"",""M"",""L""]}]","Est Itaque Facere (Sporting) - White / S",RQQ-00070,7042736749542,22.45,26.94,10.16,48,1,0,3492.65,g,14.41,43.77,12.63,cm,"{""Color"":""White"",""Size"":""S""}"
